MASV,HOTEN,PHAI,NGSINH,DCHI,DT,MACT,MANGANH,SOTCTL,DTBTL
SV0029,Hoàng Đức Phượng,Nữ,2004-05-21,Bạc Liêu,0365124502,VP,CNTT,,
SV0030,Trần Thành Đức Trường,Nữ,2002-10-15,Thanh Hóa,0751281875,CTTT,CNTT,,
SV0031,Lê Thành Đức Thúy,Nam,1999-05-20,Quảng Ngãi,0325159305,CLC,CNTT,,
SV0032,Võ Huy Thùy,Nữ,2001-07-19,Ninh Bình,0311575573,CLC,CNTT,,
SV0033,Trần Như Bình,Nam,2006-06-02,Hậu Giang,0395848923,CLC,CNTT,,
SV0034,Bùi Quốc Việt Hồng,Nữ,2001-07-23,Bến Tre,0325486435,CLC,CNTT,,
SV0035,Võ Đức Trường,Nam,2006-05-08,Thừa Thiên Huế,0303638838,CLC,CNTT,,
SV0036,Nguyễn Thành Đức Linh,Nam,1999-05-05,Cà Mau,0996497272,CLC,CNTT,,
SV0037,Hoàng Huy Tú Thúy,Nam,2000-09-22,Hà Tĩnh,0656931496,VP,CNTT,,
SV0038,Trần Đức Duy,Nữ,1999-01-24,Ninh Thuận,0774601498,CLC,CNTT,,
SV0039,Nguyễn Đức Long Quỳnh,Nữ,2005-07-15,Cà Mau,0938665070,CTTT,CNTT,,
SV0040,Trần Như Trúc,Nam,2002-06-11,Phú Thọ,0591850279,VP,CNTT,,
SV0041,Đặng Thành Hoàng,Nam,2004-02-26,Tây Ninh,0968891828,CLC,CNTT,,
SV0042,Hoàng Đức Diệu,Nữ,2000-08-19,Hưng Yên,0639222842,CQ,CNTT,,
SV0043,Đặng Đức Long Hà,Nữ,2005-05-13,Đồng Nai,0776647568,CLC,CNTT,,
SV0044,Đặng Tú Phúc,Nữ,2002-08-03,Tiền Giang,0839745528,CQ,CNTT,,
SV0045,Đặng Thành Hà,Nam,1999-12-13,Thừa Thiên Huế,0686324110,VP,CNTT,,
SV0046,Nguyễn Thị Kim Thắng,Nam,2003-01-21,Vĩnh Long,0449205674,CQ,CNTT,,
SV0047,Bùi Thị Phúc,Nam,2003-04-23,Lai Châu,0434645840,CQ,CNTT,,
SV0048,Đỗ Văn Mai,Nam,2000-12-25,Yên Bái,0635564753,CTTT,CNTT,,
SV0049,Huỳnh Đức Long Thắng,Nam,1999-03-28,Quảng Nam,0427030630,VP,CNTT,,
SV0050,Trần Thành Đức Thảo,Nam,2003-11-05,An Giang,0558099102,CLC,CNTT,,
SV0051,Bùi Văn Huy Dương,Nam,1999-12-12,Lai Châu,0950030136,CLC,CNTT,,
SV0052,Trần Thành Đức Ngọc,Nữ,1999-07-03,Nghệ An,0581660069,VP,CNTT,,
SV0053,Huỳnh Như Tuấn,Nữ,2005-10-22,Nghệ An,0435365429,CTTT,CNTT,,
SV0054,Đỗ Đức Khải,Nam,2005-01-29,Cần Thơ,0552318252,CTTT,CNTT,,
SV0055,Phạm Tú Quân Bình,Nam,2001-06-15,Sơn La,0670457544,CQ,CNTT,,
SV0056,Hoàng Hồng Hồng,Nữ,2005-03-21,Vĩnh Phúc,0430676614,CTTT,CNTT,,
SV0057,Nguyễn Quốc Việt Tân,Nữ,2004-02-29,Điện Biên,0406265762,CQ,CNTT,,
SV0058,Đặng Thị Kim Thắm,Nữ,2003-03-05,Cà Mau,0783248466,CQ,CNTT,,
SV0059,Trần Như Điền,Nam,2005-06-01,Lâm Đồng,0359336765,CLC,CNTT,,
SV0060,Đỗ Huy Tú Tân,Nam,2003-05-21,Phú Yên,0760704073,CQ,CNTT,,
SV0061,Bùi Thành Bảo,Nam,2001-11-06,Cà Mau,0608145470,CLC,CNTT,,
SV0062,Đặng Tú Lan,Nữ,2001-01-16,Hà Nội,0847475725,CQ,CNTT,,
SV0063,Đặng Minh Dương,Nữ,1999-07-14,Điện Biên,0987838894,CTTT,CNTT,,
SV0064,Bùi Văn Đạt,Nữ,2006-03-13,Khánh Hòa,0927065349,CTTT,CNTT,,
SV0065,Nguyễn Văn Huy Hoàng,Nữ,2001-05-30,Đồng Nai,0623360376,VP,CNTT,,
SV0066,Huỳnh Quốc Việt Hưng,Nam,2004-10-08,Hậu Giang,0529514368,CTTT,CNTT,,
SV0067,Võ Huy Tú Thùy,Nữ,2004-11-27,Bình Dương,0453862664,CLC,CNTT,,
SV0068,Nguyễn Văn Huy Thắm,Nam,2003-06-14,Lào Cai,0770579235,CLC,CNTT,,
SV0069,Võ Huy Trúc,Nữ,2005-03-31,Hà Tĩnh,0797967211,CTTT,CNTT,,
SV0070,Bùi Huy Tú Đạt,Nữ,2004-01-15,Hải Dương,0459448969,CLC,CNTT,,
SV0071,Hoàng Huy Tú Thúy,Nam,1999-01-07,Tuyên Quang,0505024688,CQ,CNTT,,
SV0072,Phạm Thành Nguyệt,Nam,2003-09-14,Hòa Bình,0793733540,VP,CNTT,,
SV0073,Đặng Thành Đức Thắm,Nam,2000-10-30,Trà Vinh,0531834744,CTTT,CNTT,,
SV0074,Hoàng Thị Kim Dương,Nữ,2006-03-14,Phú Yên,0320575032,CQ,CNTT,,
SV0075,Bùi Phương Phượng,Nữ,2005-08-31,Bình Định,0560284173,CTTT,CNTT,,
SV0076,Trần Quốc Việt Hiếu,Nữ,2003-06-03,Hà Tĩnh,0322618880,CLC,CNTT,,
SV0077,Hoàng Phương Anh Đức,Nữ,1999-12-28,Bắc Kạn,0445518785,CLC,CNTT,,
SV0078,Võ Thành Trường,Nam,1999-04-04,Lào Cai,0623493418,CQ,CNTT,,
SV0079,Bùi Phương Anh Hương,Nữ,2005-08-07,Vĩnh Long,0936904104,VP,CNTT,,
SV0080,Đặng Thị Đức,Nam,2005-01-14,Lai Châu,0771616553,VP,CNTT,,
SV0081,Phạm Phương Anh Điền,Nữ,2004-10-24,Quảng Ngãi,0549675687,VP,CNTT,,
SV0082,Nguyễn Văn Anh,Nam,2003-06-15,Bắc Kạn,0501700238,CTTT,CNTT,,
SV0083,Đỗ Huy Khải,Nữ,2002-11-13,Tiền Giang,0650493423,CTTT,CNTT,,
SV0084,Hoàng Thành Trường,Nữ,2002-01-06,Bến Tre,0913851324,CTTT,CNTT,,
SV0085,Lê Minh Hà Hưng,Nữ,1999-06-18,Bà Rịa - Vũng Tàu,0554401197,VP,CNTT,,
SV0086,Bùi Huy Tú Tuấn,Nữ,2005-03-22,Hà Giang,0498033129,VP,CNTT,,
SV0087,Đỗ Văn Huy Thắng,Nữ,1999-07-28,Vĩnh Phúc,0727917247,CQ,CNTT,,
SV0088,Hoàng Thị Thành,Nam,2005-10-23,Thái Nguyên,0488371375,CLC,CNTT,,
SV0089,Lê Huy Tân,Nữ,2006-04-19,Quảng Nam,0482050175,VP,CNTT,,
SV0090,Đặng Đức Long Diệu,Nam,2000-01-21,Bình Định,0795350560,CLC,CNTT,,
SV0091,Nguyễn Thị Kim Linh,Nam,2002-05-26,Khánh Hòa,0418707275,CLC,CNTT,,
SV0092,Bùi Hồng Thảo,Nữ,1999-06-06,Bạc Liêu,0603682142,CTTT,CNTT,,
SV0093,Võ Hào Nam Lan,Nữ,2004-12-31,Yên Bái,0320566219,CQ,CNTT,,
SV0094,Đặng Phương Anh Tân,Nữ,1998-12-24,Gia Lai,0339715359,VP,CNTT,,
SV0095,Trần Huy Tú Linh,Nữ,2000-02-26,Hòa Bình,0873581904,VP,CNTT,,
SV0096,Huỳnh Như Trang,Nữ,2001-02-07,Quảng Trị,0526179308,CLC,CNTT,,
SV0097,Nguyễn Hào Nam Đức,Nam,2000-08-21,Đắk Nông,0853216019,CQ,CNTT,,
SV0098,Đỗ Văn Huy Hưng,Nữ,2005-10-08,Kiên Giang,0692681695,VP,CNTT,,
SV0099,Đỗ Thị Quỳnh,Nữ,2001-11-24,Đồng Tháp,0730347763,CTTT,CNTT,,
SV0100,Phạm Như Hiếu,Nam,2004-05-26,Lâm Đồng,0840961186,CQ,CNTT,,
SV0101,Hoàng Huy Tú Khải,Nam,2005-05-14,Sóc Trăng,0714168804,CQ,CNTT,,
SV0102,Huỳnh Văn Trang,Nam,2002-03-24,Lào Cai,0643144158,CLC,CNTT,,
SV0103,Hoàng Tú Thảo,Nữ,2002-07-31,Hậu Giang,0648517091,CTTT,CNTT,,
SV0104,Đặng Minh Hà Đạt,Nữ,2000-11-18,Hà Nội,0699727785,CTTT,CNTT,,
SV0105,Phạm Hào Nam Thúy,Nữ,1998-12-27,Long An,0809382212,VP,CNTT,,
SV0106,Hoàng Đức Long Trang,Nữ,2001-03-16,Lai Châu,0414946247,CQ,CNTT,,
SV0107,Huỳnh Tú Quân Phúc,Nữ,2000-12-06,Đắk Lắk,0759233246,CTTT,CNTT,,
SV0108,Nguyễn Văn Hiếu,Nữ,2005-03-26,Bình Thuận,0549774188,CLC,CNTT,,
SV0109,Đặng Hào Nam Phúc,Nữ,2000-10-15,Cà Mau,0430305178,VP,CNTT,,
SV0110,Hoàng Thành Đức Thùy,Nam,2005-10-22,Lào Cai,0870380316,VP,CNTT,,
SV0111,Phạm Tú Tân,Nữ,1999-02-10,Nam Định,0691763185,CLC,CNTT,,
SV0112,Võ Hào Nam Phương,Nam,2001-11-09,Lào Cai,0893565874,CLC,CNTT,,
SV0113,Võ Minh Hải,Nữ,2002-04-11,Hà Nội,0825106746,CQ,CNTT,,
SV0114,Đỗ Văn Huy Ngọc,Nam,2005-11-20,Vĩnh Phúc,0983160815,VP,CNTT,,
SV0115,Phạm Huy Tú Thắm,Nữ,2000-04-25,Đà Nẵng,0704421056,CTTT,CNTT,,
SV0116,Trần Quốc Việt Đức,Nữ,2005-02-28,Cao Bằng,0938684530,VP,CNTT,,
SV0117,Bùi Thành Hải,Nữ,2003-06-29,Lào Cai,0532826377,VP,CNTT,,
SV0118,Huỳnh Thành Đức Minh,Nam,1999-12-31,Ninh Bình,0574362489,VP,CNTT,,
SV0119,Bùi Tú Quân Mai,Nữ,2001-12-09,Lạng Sơn,0914174953,CTTT,CNTT,,
SV0120,Phạm Thành Đức Tuấn,Nam,2000-07-31,Bắc Kạn,0956614047,CQ,CNTT,,
SV0121,Huỳnh Huy Thắng,Nữ,2004-02-11,Quảng Bình,0356580785,CLC,CNTT,,
SV0122,Đỗ Tú Đức,Nam,1999-06-03,Yên Bái,0854393602,CLC,CNTT,,
SV0123,Nguyễn Thị Kim Thanh,Nữ,1998-12-03,Bình Phước,0318159362,CQ,CNTT,,
SV0124,Nguyễn Huy Duy,Nữ,2001-07-20,Sơn La,0701130025,CTTT,CNTT,,
SV0125,Trần Tú Quân Hồng,Nam,1999-03-28,Bà Rịa - Vũng Tàu,0747157860,VP,CNTT,,
SV0126,Võ Huy Đức,Nam,2000-11-02,Cao Bằng,0477336542,CQ,CNTT,,
SV0127,Đỗ Minh Hà Lan,Nữ,2003-11-05,Cần Thơ,0667007162,VP,CNTT,,
SV0128,Phạm Đức Long Mai,Nữ,2001-03-18,Hải Dương,0458852352,CTTT,CNTT,,
SV0129,Trần Minh Hà Tuấn,Nam,2000-08-22,Khánh Hòa,0463666121,VP,CNTT,,
SV0130,Trần Minh Hà Hương,Nữ,2004-11-09,Quảng Bình,0514228258,CTTT,CNTT,,
SV0131,Trần Minh Hà Điền,Nam,2002-05-29,Đắk Lắk,0670888333,VP,CNTT,,
SV0132,Lê Huy Tân,Nữ,1999-02-03,Điện Biên,0995572153,CTTT,CNTT,,
SV0133,Đỗ Minh Hương,Nữ,2001-04-22,Hưng Yên,0834512865,CTTT,CNTT,,
SV0134,Võ Minh Hà Thùy,Nữ,2004-11-19,Điện Biên,0603829658,CQ,CNTT,,
SV0135,Huỳnh Thị Kim Quang,Nam,2001-11-28,Bắc Kạn,0399915337,CTTT,CNTT,,
SV0136,Lê Như Hoàng,Nam,2002-08-28,Phú Thọ,0965432233,CLC,CNTT,,
SV0137,Huỳnh Thị Kim Hưng,Nữ,2002-04-16,Bình Định,0915688016,CTTT,CNTT,,
SV0138,Huỳnh Hào Nam Thắng,Nam,2000-12-07,Quảng Nam,0586138596,CQ,CNTT,,
SV0139,Huỳnh Tú Trang,Nam,2002-02-17,Lào Cai,0354647615,CLC,CNTT,,
SV0140,Trần Huy Tú Ngọc,Nam,2004-02-07,Đồng Tháp,0914408888,CTTT,CNTT,,
SV0141,Bùi Tú Quân Quỳnh,Nữ,2001-09-03,Ninh Bình,0996795303,CTTT,CNTT,,
SV0142,Võ Quốc Việt Phương,Nữ,2000-08-24,Nghệ An,0885135508,CQ,CNTT,,
SV0143,Đặng Minh Hưng,Nam,2001-04-02,Yên Bái,0762032336,CQ,CNTT,,
SV0144,Lê Minh Trang,Nam,2002-10-19,Đồng Nai,0741936755,CQ,CNTT,,
SV0145,Huỳnh Huy Duy,Nữ,1998-12-06,Bình Thuận,0564812123,VP,CNTT,,
SV0146,Nguyễn Tú Quân Thanh,Nam,2002-04-12,Thái Nguyên,0952040276,CTTT,CNTT,,
SV0147,Nguyễn Văn Huy Thanh,Nữ,2006-02-04,Bắc Ninh,0707339222,VP,CNTT,,
SV0148,Nguyễn Thành Lan,Nữ,2004-04-08,Quảng Ngãi,0565491474,VP,CNTT,,
SV0149,Bùi Như Bình,Nữ,2002-09-30,Tuyên Quang,0559401704,CTTT,CNTT,,
SV0150,Hoàng Quốc Việt Minh,Nam,2002-01-18,Vĩnh Long,0623859165,CLC,CNTT,,
SV0151,Trần Như Dương,Nữ,2005-07-01,Bắc Giang,0613247730,CTTT,CNTT,,
SV0152,Đỗ Thành Thắm,Nữ,2004-10-02,Vĩnh Phúc,0529070322,CQ,CNTT,,
SV0153,Huỳnh Hào Nam Thành,Nam,2004-11-11,Hà Nội,0977521438,CTTT,CNTT,,
SV0154,Võ Hào Nam Hòa,Nam,2004-06-11,Hà Giang,0660237345,CTTT,CNTT,,
SV0155,Lê Văn Huy Duy,Nữ,2000-10-29,Quảng Bình,0335615273,CQ,CNTT,,
SV0156,Hoàng Minh Tú,Nữ,2000-11-11,Đồng Nai,0959764793,VP,CNTT,,
SV0157,Võ Hào Nam Quỳnh,Nam,2005-06-26,Trà Vinh,0415844691,CQ,CNTT,,
SV0158,Đỗ Phương Anh Hưng,Nữ,2004-03-10,Cao Bằng,0699373410,CLC,CNTT,,
SV0159,Đỗ Tú Linh,Nam,2002-02-21,Tiền Giang,0447796403,CQ,CNTT,,
SV0160,Huỳnh Đức Long Đức,Nữ,2001-06-29,Sơn La,0642549498,CLC,CNTT,,
SV0161,Hoàng Văn Huy Điền,Nam,2002-09-03,Đồng Nai,0415349672,CLC,CNTT,,
SV0162,Phạm Như Hương,Nữ,2001-09-29,Lạng Sơn,0493167220,CTTT,CNTT,,
SV0163,Đặng Đức Tuấn,Nam,2001-01-13,Đồng Tháp,0980605676,CQ,CNTT,,
SV0164,Huỳnh Huy Tú Nguyệt,Nam,2001-09-27,An Giang,0675648604,VP,CNTT,,
SV0165,Phạm Tú Quân Thanh,Nữ,1999-05-19,TP. Hồ Chí Minh,0859359725,CTTT,CNTT,,
SV0166,Nguyễn Thị Thắng,Nam,2001-10-07,Hà Giang,0836987241,CLC,CNTT,,
SV0167,Lê Đức Long Diệu,Nữ,1999-04-09,Phú Yên,0400097112,CQ,CNTT,,
SV0168,Lê Thị Thúy,Nam,2004-03-18,Bắc Giang,0673811064,CLC,CNTT,,
SV0169,Đặng Minh Hà Tú,Nam,2004-11-03,Lạng Sơn,0513589093,CQ,CNTT,,
SV0170,Huỳnh Tú Quân Ngân,Nam,2004-02-24,Kon Tum,0829719376,CTTT,CNTT,,
SV0171,Phạm Thành Đức Điền,Nam,2004-01-28,Đắk Nông,0321130145,VP,CNTT,,
SV0172,Phạm Minh Hà Đức,Nam,2003-01-22,Đà Nẵng,0445597508,CQ,CNTT,,
SV0173,Huỳnh Minh Hưng,Nam,2005-01-11,Vĩnh Phúc,0721104224,CTTT,CNTT,,
SV0174,Võ Minh Diệu,Nữ,2002-02-04,Lai Châu,0680763794,VP,CNTT,,
SV0175,Huỳnh Minh Tú,Nam,2002-08-31,Thái Nguyên,0452230359,CLC,CNTT,,
SV0176,Võ Hào Nam Ngân,Nam,2002-03-13,Trà Vinh,0864833604,VP,CNTT,,
SV0177,Bùi Thành Hương,Nam,2003-01-15,Bắc Kạn,0597648003,CTTT,CNTT,,
SV0178,Bùi Như Tú,Nam,2002-12-27,Kiên Giang,0638050973,CTTT,CNTT,,
SV0179,Phạm Tú Quân Mai,Nam,2002-01-09,TP. Hồ Chí Minh,0608846146,VP,CNTT,,
SV0180,Trần Tú Quân Thảo,Nam,2000-04-02,Vĩnh Phúc,0354875586,CLC,CNTT,,
SV0181,Nguyễn Thị Kim Tâm,Nữ,2000-11-22,Hà Tĩnh,0705734518,VP,CNTT,,
SV0182,Huỳnh Thành Trường,Nam,2004-10-18,Sóc Trăng,0836047344,CQ,CNTT,,
SV0183,Trần Đức Phương,Nữ,2005-09-27,Thừa Thiên Huế,0999024289,CTTT,CNTT,,
SV0184,Võ Phương Anh Hải,Nữ,2003-08-06,Kiên Giang,0953270195,CTTT,CNTT,,
SV0185,Võ Huy Tú Quỳnh,Nữ,1999-08-06,Đắk Lắk,0667777596,CQ,CNTT,,
SV0186,Nguyễn Thành Đức Ngọc,Nữ,2002-06-11,Quảng Ngãi,0593556069,CLC,CNTT,,
SV0187,Đặng Huy Tú Quang,Nam,1999-05-21,Hà Nam,0338708676,CTTT,CNTT,,
SV0188,Hoàng Như Thắng,Nam,2000-06-08,Thái Bình,0978858689,VP,CNTT,,
SV0189,Bùi Tú Quân Trường,Nữ,2006-04-11,Bình Thuận,0581586727,CQ,CNTT,,
SV0190,Huỳnh Thị Hà,Nữ,2001-07-14,Bình Phước,0427702171,VP,CNTT,,
SV0191,Hoàng Huy Khánh,Nữ,1999-02-06,Cần Thơ,0552470744,VP,CNTT,,
SV0192,Bùi Văn Huy Phượng,Nam,2004-12-10,Thanh Hóa,0917752580,VP,CNTT,,
SV0193,Nguyễn Thành Đức,Nữ,2004-06-06,An Giang,0305555843,CQ,CNTT,,
SV0194,Bùi Huy Tú Thanh,Nam,2000-11-06,Quảng Bình,0622064855,CLC,CNTT,,
SV0195,Bùi Đức Long Diệu,Nữ,2001-11-20,Tiền Giang,0803351837,CTTT,CNTT,,
SV0196,Võ Hồng Hương,Nữ,1999-05-31,Quảng Ninh,0535223367,CTTT,CNTT,,
SV0197,Bùi Tú Quân Trường,Nam,2005-07-28,Quảng Ngãi,0345915011,VP,CNTT,,
SV0198,Bùi Tú Đức,Nam,1999-08-17,Bình Thuận,0828974358,VP,CNTT,,
SV0199,Bùi Đức Khải,Nữ,2002-09-11,Điện Biên,0957008025,CTTT,CNTT,,
SV0200,Hoàng Thành Đức Mai,Nữ,2003-08-17,Hà Nội,0892033434,VP,CNTT,,
SV0201,Huỳnh Tú Quân Mai,Nam,2003-01-18,Cần Thơ,0460084022,CQ,CNTT,,
SV0202,Nguyễn Huy Thùy,Nam,2004-10-11,Hà Nội,0531333119,CLC,CNTT,,
SV0203,Võ Đức Duy,Nữ,2006-03-20,Đắk Nông,0654894496,CLC,CNTT,,
SV0204,Hoàng Phương Anh Nam,Nữ,1998-10-25,Quảng Trị,0915977349,CQ,CNTT,,
SV0205,Đỗ Thành Khải,Nữ,2003-02-19,Đắk Lắk,0634359182,VP,CNTT,,
SV0206,Đỗ Văn Huy Phương,Nữ,2000-08-29,Quảng Nam,0594595669,VP,CNTT,,
SV0207,Hoàng Tú Bình,Nam,2004-10-23,Bắc Kạn,0809306062,VP,CNTT,,
SV0208,Đặng Phương Phong,Nam,1998-11-20,Quảng Bình,0443765598,CTTT,CNTT,,
SV0209,Phạm Thành Tuấn,Nam,2003-02-17,Bến Tre,0987256394,VP,CNTT,,
SV0210,Hoàng Đức Quỳnh,Nam,2000-10-05,Ninh Bình,0388286069,CLC,CNTT,,
SV0211,Hoàng Phương Anh Nam,Nam,2001-11-24,Bắc Ninh,0999284010,CTTT,CNTT,,
SV0212,Trần Văn Huy Trường,Nữ,2000-04-05,Vĩnh Long,0998212597,CTTT,CNTT,,
SV0213,Bùi Quốc Việt Hiếu,Nam,2004-12-02,Lâm Đồng,0884553484,CTTT,CNTT,,
SV0214,Bùi Phương Tú,Nam,2004-07-24,Lạng Sơn,0792236076,VP,CNTT,,
SV0215,Hoàng Hồng Quang,Nữ,2000-06-01,Tiền Giang,0953271123,CQ,CNTT,,
SV0216,Bùi Thành Thùy,Nam,2002-02-08,Vĩnh Long,0882654217,CLC,CNTT,,
SV0217,Hoàng Thị Kim Hương,Nam,2006-02-05,Bắc Kạn,0912567614,CLC,CNTT,,
SV0218,Hoàng Văn Diệu,Nữ,2005-07-28,Bạc Liêu,0794850866,VP,CNTT,,
SV0219,Phạm Quốc Việt Thắm,Nam,2003-03-21,Quảng Nam,0327990254,CQ,CNTT,,
SV0220,Võ Minh Hà Hương,Nữ,2001-09-26,Hậu Giang,0908349320,CQ,CNTT,,
SV0221,Lê Thành Bảo,Nam,2002-01-29,Nam Định,0883181532,CTTT,CNTT,,
SV0222,Bùi Huy Anh,Nữ,2003-02-18,Đồng Nai,0900782820,VP,CNTT,,
SV0223,Đặng Như Đức,Nữ,2004-02-18,Ninh Bình,0998232265,CLC,CNTT,,
SV0224,Đỗ Thành Đức Hải,Nữ,2004-05-14,Long An,0978503134,CTTT,CNTT,,
SV0225,Nguyễn Tú Quân Hương,Nam,2000-04-08,Phú Yên,0579395859,CLC,CNTT,,
SV0226,Hoàng Minh Quỳnh,Nam,2003-03-19,Ninh Bình,0905101783,VP,CNTT,,
SV0227,Nguyễn Thị Kim Dương,Nữ,2000-01-25,Hà Giang,0410770217,CQ,CNTT,,
SV0228,Nguyễn Thành Phượng,Nam,2004-03-08,Thái Bình,0319295090,CLC,CNTT,,
SV0229,Hoàng Đức Thắng,Nam,1998-10-11,Lạng Sơn,0644945846,CQ,CNTT,,
SV0230,Bùi Huy Quang,Nữ,2002-10-21,Kiên Giang,0491663042,CTTT,CNTT,,
SV0231,Nguyễn Tú Hòa,Nữ,2003-07-23,Quảng Trị,0896868058,CLC,CNTT,,
SV0232,Hoàng Văn Huy Thành,Nam,2005-10-03,Hà Giang,0554412618,CTTT,CNTT,,
SV0233,Bùi Tú Quân Đạt,Nam,2000-04-04,Cần Thơ,0616750758,CTTT,CNTT,,
SV0234,Đặng Văn Huy Đạt,Nam,2003-06-02,Bình Dương,0402952279,CLC,CNTT,,
SV0235,Nguyễn Huy Bảo,Nam,2001-08-17,Long An,0463488875,CLC,CNTT,,
SV0236,Võ Huy Tú Ngân,Nữ,2006-06-12,Lâm Đồng,0915880232,CTTT,CNTT,,
SV0237,Lê Văn Huy Thanh,Nam,2003-02-05,Hòa Bình,0553458331,CQ,CNTT,,
SV0238,Lê Tú Quân Hồng,Nữ,2003-08-24,An Giang,0576465113,CTTT,CNTT,,
SV0239,Võ Đức Thúy,Nữ,2001-03-04,Hà Tĩnh,0981156252,CQ,CNTT,,
SV0240,Huỳnh Huy Lan,Nam,2004-10-07,Ninh Bình,0520677976,CTTT,CNTT,,
SV0241,Nguyễn Phương Thúy,Nữ,2005-09-23,Cao Bằng,0790492080,VP,CNTT,,
SV0242,Hoàng Thị Bình,Nam,2003-04-17,Bạc Liêu,0889737134,VP,CNTT,,
SV0243,Hoàng Thành Thùy,Nam,2001-06-08,Quảng Ngãi,0800656543,CTTT,CNTT,,
SV0244,Hoàng Đức Thúy,Nữ,2006-06-03,Đắk Nông,0464518698,VP,CNTT,,
SV0245,Trần Phương Tuấn,Nữ,2004-03-13,Long An,0373446478,VP,CNTT,,
SV0246,Bùi Văn Khải,Nữ,2000-04-22,Bắc Giang,0370902255,CLC,CNTT,,
SV0247,Bùi Thành Phong,Nữ,2002-09-03,Ninh Bình,0704788077,CQ,CNTT,,
SV0248,Hoàng Tú Quân Tân,Nam,1998-07-16,Sơn La,0377259119,VP,CNTT,,
SV0249,Đặng Huy Tú Diệu,Nam,2002-07-31,Yên Bái,0332270306,CLC,CNTT,,
SV0250,Võ Thành Phượng,Nam,2002-09-15,Cao Bằng,0654519020,VP,CNTT,,
SV0251,Đỗ Văn Huy Duy,Nam,2004-09-26,Khánh Hòa,0413082176,CQ,CNTT,,
SV0252,Nguyễn Thị Tân,Nam,2001-10-10,Hà Giang,0416020292,CQ,CNTT,,
SV0253,Lê Quốc Việt Tuấn,Nam,2002-04-15,Thái Bình,0398965426,CTTT,CNTT,,
SV0254,Hoàng Văn Đức,Nữ,2002-07-09,Phú Yên,0654910877,CTTT,CNTT,,
SV0255,Hoàng Huy Tâm,Nữ,2001-01-03,Nam Định,0920453122,CTTT,CNTT,,
